district_code,district_name,block_mandal_code,block_mandal_name,villages,polygon_features,area_sq_km,area_acres,min_lon,min_lat,max_lon,max_lat
01,ADILABAD,0103,ADILABAD,46,46,363.638104410971,89856.93250646988,78.4717179063023,19.5244064680614,78.75113568581824,19.748299993748052
01,ADILABAD,0137,ASIFABAD,67,68,380.013038316586,93903.26679571651,79.05866854447896,19.24268587892274,79.39402747780677,19.43852534760432
01,ADILABAD,0110,BAZARHATHNOOR,33,33,286.69539776250497,70843.9756289845,78.26893643265396,19.385270113892098,78.49225263898883,19.579413349140324
01,ADILABAD,0147,BEJJUR,48,48,606.462186473252,149860.06993388408,79.70812822151355,19.198748316473445,79.97965062951126,19.501907937549447
01,ADILABAD,0105,BELA,52,52,253.299387324737,62591.6417302784,78.68157526374688,19.56588047672728,78.85977144824753,19.781933370787677
01,ADILABAD,0142,BELLAMPALLE,17,17,147.060428979326,36339.423401661326,79.42489756868162,18.977692561822362,79.58775500987433,19.134944993356026
01,ADILABAD,0116,BHAINSA,34,34,249.765258016754,61718.33935947497,77.87943515409034,19.03172902360574,78.09094205256991,19.21711079377434
01,ADILABAD,0144,BHIMINI,38,38,262.557201906018,64879.29753393812,79.50382486264759,19.08080536201913,79.75004909594038,19.29039394526614
01,ADILABAD,0111,BOATH,40,40,318.072032726367,78597.31098088561,78.17201475755682,19.26036863297844,78.39388792936215,19.451065212646295
01,ADILABAD,0151,CHENNUR,35,35,320.033804046272,79082.07523124208,79.66413134780203,18.681368817762486,79.84815090798173,18.96074071848056
01,ADILABAD,0148,DAHEGAON,40,40,339.63506943375296,83925.65339205472,79.55072945080872,19.15105303831288,79.9467922331636,19.353167929259495
01,ADILABAD,0131,DANDEPALLE,32,32,202.14708628211702,49951.632868218505,79.08720915176694,18.8821390164756,79.23834925926161,19.094885624789708
01,ADILABAD,0120,DILAWARPUR,34,34,220.85958851945202,54575.592871780354,78.13843206580748,18.97823287998837,78.32058771863258,19.1625674987162
01,ADILABAD,0108,GUDIHATHNOOR,23,23,144.322513569516,35662.8697698954,78.44250660526808,19.444053173867136,78.58383067037592,19.605772799662752
01,ADILABAD,0109,ICHODA,46,46,281.00315151033703,69437.39094743748,78.40239745271057,19.27036564838297,78.61360413490888,19.473787173538497
01,ADILABAD,0107,INDERAVELLY,36,36,353.924990477711,87456.76978275763,78.54664776524595,19.298841834714217,78.78507844432339,19.571856881332106
01,ADILABAD,0104,JAINAD,56,56,286.443968600783,70781.84613006521,78.48573831547115,19.606837702297238,78.71789873627358,19.824505320471744
01,ADILABAD,0127,JAINOOR,26,26,196.174363062813,48475.74081871459,78.82500091072706,19.321597274092262,79.03138952876594,19.48817131119764
01,ADILABAD,0152,JAIPUR,38,38,465.145996461119,114940.07889344955,79.49630344271118,18.670342551563063,79.736548811893,18.946826272085733
01,ADILABAD,0130,JANNARAM,26,26,363.409679273358,89800.48742570334,78.85776510312544,19.01931817507588,79.14857409055526,19.235691554589028
01,ADILABAD,0125,KADDAM (PEDDUR),40,40,562.1014858343591,138898.30208035972,78.68885342697067,19.010592027206116,78.96828054858152,19.305905617657988
01,ADILABAD,0139,KAGAZNAGAR,41,41,486.1752168642,120136.51242310998,79.36952643496704,19.26432647837456,79.74772792408545,19.53837982811877
01,ADILABAD,0135,KASIPET,22,22,386.400738748445,95481.701947629,79.21658406528502,18.965902221678302,79.48613395253196,19.153902601894252
01,ADILABAD,0128,KERAMERI,51,51,338.60350354217104,83670.74790890684,78.93551745570082,19.35826168653871,79.20442666541881,19.560405007099607
01,ADILABAD,0124,KHANAPUR,35,35,551.3653117929421,136245.3356983575,78.48593331884962,18.97722815630649,78.75114726490443,19.326055702854976
01,ADILABAD,0150,KOTAPALLE,37,37,413.65905152010396,102217.37772322109,79.69123531062586,18.8245212121143,79.96249578830609,19.061344134781226
01,ADILABAD,0146,KOUTHALA,32,32,280.368061733662,69280.4568459063,79.63183678644097,19.426007922420784,79.89309297143578,19.608656564480754
01,ADILABAD,0115,KUBEER,40,40,278.480128699063,68813.93843320727,77.84794967842844,19.14533808840615,78.05565114298409,19.341747630855632
01,ADILABAD,0114,KUNTALA,30,30,230.069231692065,56851.34526112537,78.02048731870619,19.076167341138788,78.23260966120182,19.254313846915412
01,ADILABAD,0122,LAXMANCHANDA,22,22,126.422164572992,31239.597202713943,78.37030641393093,18.956011737145452,78.52510811519828,19.09714996440705
01,ADILABAD,0119,LOKESWARAM,30,30,223.4568938955,55217.401007515415,78.00346040228592,18.928421416003253,78.2319936055571,19.085793789468006
01,ADILABAD,0132,LUXETTIPET,22,22,134.88333015962598,33330.396752655986,79.17118369331368,18.83165106159134,79.30054510689297,18.985473309186368
01,ADILABAD,0123,MAMDA,34,34,308.91338526000504,76334.15990498694,78.4075460697398,18.945220437314443,78.61822040889501,19.226795022097868
01,ADILABAD,0133,MANCHERIAL,29,29,317.769646361304,78522.58968279626,79.26699333360779,18.796086097815873,79.51888222976127,19.01036143521215
01,ADILABAD,0134,MANDAMARRI,14,14,161.698283040229,39956.515913241456,79.41832956517659,18.889017922077127,79.59384648112518,19.01590620394666
01,ADILABAD,0118,MUDHOLE,39,39,292.079372534883,72174.38476892255,77.87366096416889,18.844390830483018,78.05216782423858,19.053145532922187
01,ADILABAD,0106,NARNOOR,57,57,448.17620979872197,110746.75328682152,78.74677952057166,19.418753300340303,78.97967148991043,19.67149490606157
01,ADILABAD,0143,NENNAL,33,33,269.107491288168,66497.90929043463,79.5257974845035,18.93089928694549,79.73088752863264,19.12517747109121
01,ADILABAD,0112,NERADIGONDA,44,44,320.778938546412,79266.20197614352,78.28953681852123,19.172422374913225,78.55499853530928,19.393072911569586
01,ADILABAD,0121,NIRMAL,42,42,221.833460488438,54816.24187617682,78.27599941810543,18.942728793397883,78.43372530042271,19.181688516974518
01,ADILABAD,0140,REBBANA,33,33,264.006477726246,65237.4213883467,79.31904868792574,19.17642695456643,79.54986234141097,19.350755487703534
01,ADILABAD,0113,SARANGAPUR,30,30,252.371773009884,62362.423241152246,78.17715697696238,19.117663232299225,78.37609480094288,19.316712787937636
01,ADILABAD,0129,SIRPUR,29,29,316.27286040854597,78152.7258189653,78.86044835774365,19.20867051305013,79.09186410312404,19.42265445003982
01,ADILABAD,0145,SIRPUR (T),28,28,358.02885011396995,88470.85558366311,79.45380162655579,19.382893655736073,79.7500867687428,19.575313348891278
01,ADILABAD,0101,TALAMADUGU,31,31,285.57954375109,70568.24209783213,78.26271282736336,19.534798230724252,78.50110838441695,19.716742685897806
01,ADILABAD,0102,TAMSI,33,33,285.505656562333,70549.98417586878,78.28508661826484,19.661689107798697,78.50938773029297,19.916979744278287
01,ADILABAD,0141,TANDUR,26,26,184.00457283128802,45468.520161178225,79.3222547398736,19.087648164406048,79.57010813591125,19.227184969120824
01,ADILABAD,0117,TANOOR,33,33,221.589605985796,54755.98411627898,77.76185491065083,18.90342678290199,77.9042949611788,19.16375030128412
01,ADILABAD,0136,TIRYANI,41,41,556.627045557963,137545.53842754167,79.05424434546494,19.04875012457975,79.39140507410313,19.315866599686633
01,ADILABAD,0126,UTNOOR,42,42,391.402532577989,96717.67211989858,78.66868487604053,19.21376600100475,78.88531896328988,19.507713480805077
01,ADILABAD,0149,VEMANPALLE,35,35,264.606347366895,65385.65240472985,79.69704829237637,18.99366624964722,79.93125334472158,19.19015652116801
01,ADILABAD,0138,WANKDI,40,40,342.99337557995204,84755.50891339475,79.192589520688,19.37834421198629,79.42289534315304,19.616788088889418
06,HYDERABAD,0600,MCH,1,1,174.634208735055,43153.052766692344,78.38198826049211,17.2912456100856,78.5430516065291,17.484305856216395
03,KARIMNAGAR,0346,BEJJANKI,26,26,308.000516380141,76108.58509219864,78.96928486916275,18.18893546901552,79.16388346718074,18.443626895566055
03,KARIMNAGAR,0356,BHEEMADEVARPALLE,15,15,197.025879588364,48686.15513458647,79.2208535026651,17.983701180348934,79.41193414270435,18.158577213346764
03,KARIMNAGAR,0338,BOINPALLE,16,16,141.08693917911302,34863.34192588947,78.89089703761773,18.391931803984516,79.0045310463917,18.584940528887454
03,KARIMNAGAR,0325,CHANDURTHI,12,12,205.543010420376,50790.78399783655,78.6063469969574,18.50918789756239,78.85139582197365,18.64107218484312
03,KARIMNAGAR,0353,CHIGURUMAMIDI,11,11,137.980728751045,34095.780613144445,79.10603184883718,18.15764188121083,79.26056038535557,18.285207083934147
03,KARIMNAGAR,0330,CHOPPADANDI,12,12,141.205721836183,34892.69375967644,79.09668234374503,18.51690477169495,79.22437549754291,18.664101880983463
03,KARIMNAGAR,0305,DHARMAPURI,23,23,268.612801690421,66375.66882867551,78.98917546699288,18.833483499063195,79.18543303399422,19.07594890702517
03,KARIMNAGAR,0318,DHARMARAM,17,17,207.741529318713,51334.049848872884,79.11568598895308,18.617323385425294,79.33601875525899,18.761098812365283
03,KARIMNAGAR,0317,ELIGEDU,9,9,81.460052409851,20129.217325071513,79.2144012901748,18.506149490695524,79.3256139952959,18.612466689792107
03,KARIMNAGAR,0351,ELKATHURTHI,13,13,137.64304022364,34012.335960762946,79.36713411250331,18.032117489085532,79.56418210432169,18.169959828447393
03,KARIMNAGAR,0345,ELLANTHAKUNTA,22,22,246.711881416504,60963.83356990728,78.81716109522539,18.206483933188103,79.02433594655596,18.401704155201237
03,KARIMNAGAR,0342,GAMBHIRAOPET,18,18,163.750071256336,40463.52382307241,78.52102768044232,18.222489758511536,78.64583281524654,18.427013640835895
03,KARIMNAGAR,0327,GANGADHARA,19,19,160.428282134271,39642.69185491106,78.95201040319769,18.41683979648362,79.08231995650158,18.68254082412881
03,KARIMNAGAR,0319,GOLLAPALLE,22,22,154.68186731697,38222.72182941333,78.95730570700216,18.733716818793337,79.15745882420823,18.855366128680195
03,KARIMNAGAR,0355,HUSNABAD,24,24,275.606035115586,68103.73444188984,79.09843966507326,17.98829102748549,79.29890419944388,18.177645686643018
03,KARIMNAGAR,0349,HUZURABAD,12,12,135.669280336003,33524.60927080381,79.33527398899527,18.151350068484074,79.48576341240936,18.2823962797594
03,KARIMNAGAR,0301,IBRAHIMPATNAM,18,18,171.83729969413,42461.921491205605,78.51362870362323,18.80378581249978,78.6449797441974,19.005102398502494
03,KARIMNAGAR,0320,JAGTIAL,25,25,216.000405343389,53374.86255944047,78.83030656734095,18.73435827428947,79.02154777477504,18.91231823367009
03,KARIMNAGAR,0333,JAMMIKUNTA,19,19,223.643687397148,55263.55868699573,79.40814200831046,18.224538631134152,79.58003825484323,18.419526964895862
03,KARIMNAGAR,0317,JULAPALLE,6,6,93.44547648377801,23090.88011290499,79.18251184875965,18.563926326811607,79.32203024958359,18.68227260107764
03,KARIMNAGAR,0350,KAMALAPUR,16,16,154.432649310887,38161.1387189517,79.45687885974263,18.119964557886586,79.61319838539129,18.265428505577734
03,KARIMNAGAR,0308,KAMANPUR,25,25,241.41068821201398,59653.88020088063,79.40039348598896,18.531687607855847,79.64564535454632,18.77694413087604
03,KARIMNAGAR,0336,KARIMNAGAR,30,30,216.816782819906,53576.59382719641,78.98476560608184,18.40023859434878,79.23393200424347,18.5375024000366
03,KARIMNAGAR,0310,KATARAM,31,31,289.24451294957703,71473.87570968967,79.80690244014403,18.50759754308969,80.02927420578102,18.745679353241854
