district_code,district_name,block_mandal_code,block_mandal_name,village_code,village_name,habitation_code,area_sq_m,area_ha,area_sq_km,area_acres,perimeter_m,centroid_lon,centroid_lat,bbox_min_lon,bbox_min_lat,bbox_max_lon,bbox_max_lat,geometry_type,source_more_40ha,source_less_40ha,source_total,source_dmvt,OBJECTID,OBJECTID_1
01,ADILABAD,0136,TIRYANI,0136004,Pangidimadra,01005360040102,16889279.933594,1688.9279933594,16.889279933594,4173.431960696486,21314.272542,79.15548947913466,19.255584502782384,79.12585205863428,19.233755908801957,79.18861073356553,19.275102101530386,Polygon,,1.0,1.0,1.0,6242,5269
01,ADILABAD,0136,TIRYANI,0136003,Dantanpalle,01005360030103,10713778.971532,1071.3778971532,10.713778971532001,2647.432439715309,20267.814221,79.18908023451115,19.277554171174376,79.16695948346121,19.258836436925208,79.21438940735975,19.30253232132174,Polygon,,,,,6210,8096
01,ADILABAD,0136,TIRYANI,0136002,Goena,01005360020102,166104.335938,16.6104335938,0.166104335938,41.04527529530967,1495.447837,79.08485374161062,19.283744747311278,79.08252270838143,19.28163102002188,79.08717618625892,19.28561947991722,Polygon,,,,,6230,8116
01,ADILABAD,0136,TIRYANI,0136029,Sonapur,01005360290110,8298158.933594,829.8158933594,8.298158933594,2050.519728760911,13299.942476,79.21171092814046,19.219518443487157,79.18549737304969,19.203365501016965,79.229235744663,19.233320802304295,Polygon,,,,,6289,8165
01,ADILABAD,0136,TIRYANI,0136001,Loddiguda,01005360010101,1018480.566406,101.8480566406,1.0184805664060002,251.67202887864926,6600.076535,79.0880606653743,19.21998491933537,79.07929826601038,19.213429509943563,79.09625580218786,19.225711479010112,Polygon,,,,,6296,8171
01,ADILABAD,0136,TIRYANI,0136023,Maindagudipet,01005360230107,3594614.421875,359.4614421875,3.594614421875,888.2485679447958,9639.583639,79.20440941969501,19.20164398415933,79.19568533881687,19.184278431153473,79.21412175247396,19.215836556458317,Polygon,,,,,6311,8185
01,ADILABAD,0136,TIRYANI,0136035,Korlanka,01005360350113,3978471.410156,397.8471410156,3.978471410156,983.1016954628095,12530.763513,79.22824527594594,19.19489071098107,79.20923490637288,19.18463398869272,79.24714345524654,19.206373617977388,Polygon,,,,,6322,8192
01,ADILABAD,0136,TIRYANI,0136036,Mangi,01005360360111,6103496.5625,610.34965625,6.1034965625,1508.206846360095,11472.924084,79.15884786814514,19.12367048150375,79.14380153927287,19.108621306301217,79.17549342861486,19.14022157187536,Polygon,,,,,6412,8257
01,ADILABAD,0136,TIRYANI,0136038,Bheemapur,01005360380113,1248325.15625,124.832515625,1.24832515625,308.467863930215,5166.031131,79.20751849860935,19.11887970038429,79.19798049687455,19.114314003927827,79.21644243122776,19.12454277772709,Polygon,,,,,6442,8269
01,ADILABAD,0136,TIRYANI,0136039,Gundala,01005360390113,4258415.394474,425.84153944739995,4.2584153944739995,1052.2773604971471,10074.652343,79.21935266085798,19.071085111076453,79.20690517957433,19.055162683694128,79.23041850114355,19.08486737384673,Polygon,,,,,6541,8331
01,ADILABAD,0136,TIRYANI,0136007,Rudrapur,01005360070104,191802.457031,19.1802457031,0.191802457031,47.39541931098484,1596.146695,79.2580695062856,19.271475647355405,79.25570279190303,19.26937362109971,79.26067274615211,19.273508390456286,Polygon,,,,,9212,9461
01,ADILABAD,0136,TIRYANI,0136012,Areguda,01005360120104,1158821.738281,115.8821738281,1.158821738281,286.3510876903701,5232.148921,79.29876436849442,19.25820869617548,79.2915731650681,19.252711650887495,79.30646108630111,19.265015607807683,Polygon,,,,,9217,9465
01,ADILABAD,0136,TIRYANI,0136010,Boardham,01005360100104,3989308.226562,398.9308226562,3.9893082265619997,985.7795311147038,13265.338996,79.26601639146857,19.249669445672897,79.25427643780742,19.23109170687105,79.28116633146408,19.264603065169435,Polygon,,,,,9218,9466
01,ADILABAD,0136,TIRYANI,0136009,Devaiguda,01005360090104,124510.773438,12.4510773438,0.124510773438,30.767282167168787,1339.57013,79.27316562492472,19.26045799467,79.2715171496194,19.25852738468781,79.27515893392265,19.262813651721395,Polygon,,,,,9222,9469
01,ADILABAD,0136,TIRYANI,0136011,Pedakunta,01005360110104,134925.53125,13.492553125,0.13492553125,33.34082486919119,1463.732093,79.26925154105798,19.254584244641507,79.26757403358494,19.252130606717312,79.27090792118729,19.25758957054885,Polygon,,,,,9226,9471
01,ADILABAD,0136,TIRYANI,0136013,Chopidi,01005360130104,99742.050781,9.9742050781,0.099742050781,24.646797506556382,1820.141738,79.30352088324061,19.253875549383185,79.30069582016324,19.252066413668484,79.3067873494219,19.25490531113719,Polygon,,,,,9230,9475
01,ADILABAD,0136,TIRYANI,0136014,Jewni,01005360140104,611514.59375,61.151459375,0.61151459375,151.1085469613324,5574.916108,79.3049093580177,19.249853171725835,79.29575079917643,19.244953324126413,79.3122283060351,19.254459703396332,Polygon,,,,,9231,9476
01,ADILABAD,0136,TIRYANI,0136016,Dongargaon,01005360160105,276428.402344,27.6428402344,0.276428402344,68.30694580957318,2819.774211,79.30518179961908,19.218384870486318,79.30166976000203,19.214835597823548,79.30916734707904,19.22086648225729,Polygon,,,,,9262,9498
01,ADILABAD,0136,TIRYANI,0136020,Godelpalle,01005360200105,2331508.738281,233.1508738281,2.331508738281,576.1283561669559,8188.203894,79.27007872409092,19.202921402454944,79.26436729968391,19.191602197070996,79.27947591637898,19.218877343382303,Polygon,,,,,9266,9500
01,ADILABAD,0136,TIRYANI,0136017,Koyatalandi,01005360170105,1313956.207031,131.3956207031,1.313956207031,324.6856497695449,5818.90017,79.28276405991927,19.195273078682163,79.27446829537658,19.188153062996673,79.29159617532852,19.204684828288265,Polygon,,,,,9281,9510
01,ADILABAD,0136,TIRYANI,0136015,Goyagaon,01005360150110,1644328.433594,164.4328433594,1.644328433594,406.3224048405518,7590.066459,79.29278080667345,19.186785065792755,79.28153223200508,19.181265256199385,79.30524938426477,19.19374877016311,Polygon,,,,,9296,9520
01,ADILABAD,0136,TIRYANI,0136018,Talandi,01005360180105,1858491.929688,185.8491929688,1.8584919296879998,459.24335723920143,5963.193995,79.27557336961219,19.187661620477822,79.26621123076232,19.18048614473523,79.28537452103748,19.19340178914158,Polygon,,,,,9297,9521
01,ADILABAD,0136,TIRYANI,0136022,Sangapur,01005360220107,3877452.371094,387.7452371094,3.877452371094,958.1393472799476,17499.401556,79.30606240962935,19.17233655153817,79.29156623531384,19.15984467211254,79.32045356521206,19.191577786916646,Polygon,,,,,9298,9522
01,ADILABAD,0136,TIRYANI,0136027,Duggapur,01005360270110,1210641.757812,121.0641757812,1.2106417578120001,299.1560933842139,4547.991316,79.29037823974305,19.178120249193217,79.2837632979386,19.171410638625524,79.29761357497134,19.18314364100101,Polygon,,,,,9307,9528
01,ADILABAD,0136,TIRYANI,0136026,Gambhiraopet,01005360260109,1469636.570312,146.9636570312,1.469636570312,363.15510532504334,5065.765603,79.28695112572474,19.165620218939438,79.28219410470145,19.157818352225405,79.29343211767706,19.175451694843012,Polygon,,,,,9317,9531
01,ADILABAD,0136,TIRYANI,0136028,Kannepalle,01005360280110,1165853.066406,116.5853066406,1.1658530664059998,288.0885667089191,4982.785375,79.29755551557098,19.16604058810607,79.289079207109,19.160176364112022,79.30612098325687,19.171763709897125,Polygon,,,,,9320,9533
01,ADILABAD,0136,TIRYANI,0136025,Gangapur,01005360250108,452422.726562,45.2422726562,0.452422726562,111.79609043151804,2796.359966,79.2678277517462,19.16400858331122,79.2637983916026,19.160630361890615,79.27368068375141,19.167429825818584,Polygon,,,,,9325,9536
01,ADILABAD,0136,TIRYANI,0136030,Edulpad,01005360300109,5395093.722018,539.5093722017999,5.395093722017999,1333.1566922303666,9636.108198,79.29367892220444,19.149787964422185,79.2823864708076,19.133099327498428,79.30625507038485,19.163655372582834,Polygon,,,,,9329,9539
01,ADILABAD,0136,TIRYANI,0136031,Dondla,01005360310109,3673267.573119,367.3267573119,3.673267573119,907.6841848865391,9453.390586,79.31449953175341,19.151086217413283,79.30366588936613,19.137843874995127,79.32633043409756,19.16110171860236,Polygon,,,,,9330,9540
01,ADILABAD,0136,TIRYANI,0136005,Ullipitadorli,01005360050103,9231703.791792,923.1703791791999,9.231703791792,2281.203687062639,22962.643083,79.23520118661632,19.27337515175927,79.20339746089877,19.253268392442198,79.26053200102646,19.287461944892385,Polygon,,,,,11109,10921
01,ADILABAD,0136,TIRYANI,0136008,Mandrumeda,01005360080104,9966190.870048,996.6190870048,9.966190870047999,2462.6993967177914,19210.012673,79.27504581789933,19.26292386330618,79.2507110668361,19.24121024609721,79.29468207201636,19.281843881043603,Polygon,,,,,11110,10922
01,ADILABAD,0136,TIRYANI,0136006,Lingiguda,01005360060104,1056622.371181,105.66223711810001,1.056622371181,261.0970740974218,4939.657962,79.24980529258133,19.26480218521739,79.24002772936174,19.257145422929405,79.25642982461748,19.270172081991475,Polygon,,,,,11111,10923
01,ADILABAD,0136,TIRYANI,0136019,Rallakamepalle,01005360190105,5720596.681296,572.0596681296,5.7205966812960005,1413.590225151448,13509.557957,79.26069372756433,19.21634744953377,79.24724788476463,19.188106152112578,79.27160699385982,19.235199899209523,Polygon,,,,,11112,10924
01,ADILABAD,0136,TIRYANI,0136021,Ginnedari,01005360210106,9372855.214682,937.2855214681999,9.372855214682,2316.0829632605055,13406.845268,79.23966227457332,19.210861562436868,79.2219434337962,19.195271996316436,79.25770234838077,19.230643304353634,Polygon,,,,,11113,10925
01,ADILABAD,0136,TIRYANI,0136024,Tiryani,01005360240108,5422018.286644,542.2018286644,5.422018286644,1339.8098970431117,11367.177491,79.26850636218869,19.177144814378547,79.25239457276037,19.164546887170275,79.28544516289689,19.194030445791928,Polygon,,,,,11114,10926
01,ADILABAD,0136,TIRYANI,0136032,Islampur,01005360320113,6326157.031849,632.6157031849,6.326157031848999,1563.2274465762375,20394.037415,79.26220732953522,19.152857734260454,79.2308719066002,19.136521708741764,79.28419820592678,19.17546907693614,Polygon,,,,,11115,10927
