district,division,mandal
WANAPARTHY,KOTHAKOTA,KOTHAKOTA
WANAPARTHY,KOTHAKOTA,MADANAPUR
WANAPARTHY,PANGAL,CHINNAMBAVI
WANAPARTHY,PANGAL,PANGAL
WANAPARTHY,PANGAL,WEEPANAGANDLA
WANAPARTHY,WANAPARTHY,GHANPUR
WANAPARTHY,WANAPARTHY,GOPALPET
WANAPARTHY,WANAPARTHY,PEBBAIR
WANAPARTHY,WANAPARTHY,PEDDAMANDADI
WANAPARTHY,WANAPARTHY,REVALLY
WANAPARTHY,WANAPARTHY,SRIRANGAPUR
WANAPARTHY,WANAPARTHY,WANAPARTHY
WANAPARTHY,WANAPARTHY,Yedula
WARANGAL,NARSAMPET,CHENNARAOPET
WARANGAL,NARSAMPET,DUGGONDI
WARANGAL,NARSAMPET,KHANAPUR
WARANGAL,NARSAMPET,NALLABELLY
WARANGAL,NARSAMPET,NARSAMPET
WARANGAL,NARSAMPET,NEKKONDA
WARANGAL,WARDHANNAPET,GEESUGONDA
WARANGAL,WARDHANNAPET,KHILA WARANGAL
WARANGAL,WARDHANNAPET,PARVATHAGIRI
WARANGAL,WARDHANNAPET,RAIPARTHY
WARANGAL,WARDHANNAPET,SANGEM
WARANGAL,WARDHANNAPET,WARANGAL
WARANGAL,WARDHANNAPET,WARDHANNAPET
YADADRI BHUVANAGIRI,ALAIR,ADDAGUDUR
YADADRI BHUVANAGIRI,ALAIR,ALAIR
YADADRI BHUVANAGIRI,ALAIR,ATHMAKUR(M)
YADADRI BHUVANAGIRI,ALAIR,GUNDALA
YADADRI BHUVANAGIRI,ALAIR,MOTHKUR
YADADRI BHUVANAGIRI,BHONGIR,B.POCHAMPALLY
YADADRI BHUVANAGIRI,BHONGIR,BHONGIR
YADADRI BHUVANAGIRI,BHONGIR,BIBINAGAR
YADADRI BHUVANAGIRI,BHONGIR,CHOUTUPPAL
YADADRI BHUVANAGIRI,BHONGIR,NARAYANAPOOR
YADADRI BHUVANAGIRI,BHONGIR,RAMANNAPETA
YADADRI BHUVANAGIRI,BHONGIR,VALIGONDA
YADADRI BHUVANAGIRI,YADAGIRIGUTTA,BOMMALARAMARAM
YADADRI BHUVANAGIRI,YADAGIRIGUTTA,MOTAKONDUR
YADADRI BHUVANAGIRI,YADAGIRIGUTTA,RAJAPET
YADADRI BHUVANAGIRI,YADAGIRIGUTTA,THURKAPALLY
YADADRI BHUVANAGIRI,YADAGIRIGUTTA,YADAGIRIGUTTA
